a_nr;a_stock
1012403;0
1012404;0
1012405;0
1012401;0
1012402;0
1011402;0
1011401;0
1011404;0
1011303;0
1011311;0
1011304;0
1011308;0
1011305;0
1011301;0
1011302;0
1016703;0
1016704;0
1016705;0
1016701;0
1016702;0
1021403;0
1021405;0
1021401;0
1021402;0
1011901;0
10507802;0
1011902;0
1015403;69
1015411;0
1015404;58
1015408;100
1015405;47
1015401;100
1015402;100
1019903;0
1019911;0
1019908;0
1019905;0
1019901;0
1019902;0
1011503;100
1011511;25
1011504;92
1011505;43
1015603;100
1015611;6
1015604;100
1015608;100
1015609;14
1015605;22
1015601;100
1015602;12
1027503;0
1027504;0
1027505;0
1027501;0
1027502;0
1011603;0
1011611;0
1011604;0
1011605;0
1011601;0
1011602;0
1022601;0
1028001;79
1022203;0
1022211;0
1022204;0
1022208;0
1022205;0
1022201;0
1022202;0
1011803;0
1011808;0
1011801;0
1011802;0
1010203;0
1010204;0
1010205;0
1010201;0
1010202;0
1010703;0
1010704;0
1010707;0
1010708;0
1010705;0
1010701;0
1010702;0
1016503;0
1016504;0
1016505;0
1016501;0
1016502;0
1010803;15
1010811;0
1010804;0
1010808;0
1010805;0
1010801;100
1010802;21
1012703;0
1012003;0
1012011;0
1012004;0
1012005;0
1012001;0
1012002;0
1010603;0
1010611;0
1010604;0
1010605;0
1010601;0
1010602;0
1019703;0
1019711;0
1019704;0
1019705;0
1019701;0
1019702;0
1010503;0
1010511;0
1010504;0
1010508;57
1010506;0
1010505;8
1010501;0
1010502;67
1016301;0
1016303;0
1016311;0
10366508;0
1016304;0
1016308;0
1016305;0
1016302;0
1022503;0
1022508;0
1022501;0
1011203;0
1011204;0
1011205;0
1011201;0
1011202;0
1011703;0
1011704;0
1011705;0
1011701;0
1011702;0
1021801;0
1021802;0
1012203;0
1012211;0
1012204;0
1012208;0
1012205;0
1012201;0
1012202;0
1012603;0
1012503;0
1012504;0
1012505;0
1012501;0
1012502;0
1015101;0
1015102;0
1010903;0
1010904;0
1010905;0
1010901;0
1010902;0
1016105;0
1016101;0
1016102;0
1020503;0
