id,title,description,image_link,link,product_type,brand,price,availability,item_group_id,checkout_url,additional_image_link,sale_price_effective_date,sale_price,condition,visibility,gender,color,size,pattern,google_product_category,default_product,variant
JP-46.031_11912,"Coppito Sidetable","Coppito Sidetable",https://demo.tomassotables.com/wp-content/uploads/Sidetable_Chili_Zwart_Mangohout_115x30x75_cm_Perspectief_1.jpg,https://demo.tomassotables.com/coppito-sidetable/,"Bijzettafels","Tomasso Tables",549EUR,out of stock,JP-46.031_11912,,"https://demo.tomassotables.com/wp-content/uploads/Sidetable_Chili_Zwart_Mangohout_115x30x75_cm_Perspectief_2_1.jpg,https://demo.tomassotables.com/wp-content/uploads/Sidetable_Chili_Zwart_Mangohout_115x30x75_cm_Voorkant_1.jpg,https://demo.tomassotables.com/wp-content/uploads/Sidetable_Chili_Zwart_Mangohout_115x30x75_cm_Voorkant_2_1.jpg,https://demo.tomassotables.com/wp-content/uploads/Sidetable_Chili_Zwart_Mangohout_115x30x75_cm_Detail_1.jpg",,0,new,published,,,,,,,
AP-13.010/AH-57.032_11911,"Torreano Sidetable","Torreano Sidetable",https://demo.tomassotables.com/wp-content/uploads/side_table_vintage_zwart_metaal_rough_mangohout_110x35x76_cm_perspectief.jpg,https://demo.tomassotables.com/torreano-sidetable/,"Bijzettafels","Tomasso Tables",417EUR,in stock,AP-13.010/AH-57.032_11911,,"https://demo.tomassotables.com/wp-content/uploads/side_table_vintage_zwart_metaal_rough_mangohout_110x35x76_cm_voorkant_2.jpg,https://demo.tomassotables.com/wp-content/uploads/side_table_vintage_zwart_metaal_rough_mangohout_110x35x76_cm_voorkant.jpg,https://demo.tomassotables.com/wp-content/uploads/side_table_vintage_zwart_metaal_rough_mangohout_110x35x76_cm_zijkant.jpg,https://demo.tomassotables.com/wp-content/uploads/side_table_vintage_zwart_metaal_rough_mangohout_110x35x76_cm_detail.jpg",,0,new,published,,,,,,,
WH-56.005_11910,"Cuppello Salontafel","Cuppello Salontafel",https://demo.tomassotables.com/wp-content/uploads/Salontafel_Set_Cali_Zwart_Acaciahout_110x60x40_cm_Perspectief.jpg,https://demo.tomassotables.com/cuppello-salontafel/,"Salontafels","Tomasso Tables",296EUR,out of stock,WH-56.005_11910,,"https://demo.tomassotables.com/wp-content/uploads/Salontafel_Set_Cali_Zwart_Acaciahout_110x60x40_cm_Perspectief_2_1.jpg",,0,new,published,,,,,,,
AC-49.039_11909,"Ugento Salontafel","Ugento Salontafel",https://demo.tomassotables.com/wp-content/uploads/Salontafel_Zion_Zwart_Mangohout_130x70x43_cm.jpg,https://demo.tomassotables.com/ugento-salontafel/,"Salontafels","Tomasso Tables",351EUR,in stock,AC-49.039_11909,,"https://demo.tomassotables.com/wp-content/uploads/Salontafel_Zion_Zwart_Mangohout_Zwart_Metaal_130x70x43_cm_Voorkant.jpg,https://demo.tomassotables.com/wp-content/uploads/Salontafel_Zion_Zwart_Mangohout_Zwart_Metaal_130x70x43_cm_Detail.jpg",,0,new,published,,,,,,,
AC-49.041_11908,"Terzigno Salontafel","Terzigno Salontafel",https://demo.tomassotables.com/wp-content/uploads/Salontafel_Zico_Zwart_Mangohout_80x80x43_cm.jpg,https://demo.tomassotables.com/terzigno-salontafel/,"Salontafels","Tomasso Tables",263EUR,in stock,AC-49.041_11908,,"https://demo.tomassotables.com/wp-content/uploads/Salontafel_Zico_Zwart_Mangohout_Zwart_Metaal_80x80x43_cm_Voorkant_2.jpg,https://demo.tomassotables.com/wp-content/uploads/Salontafel_Zico_Zwart_Mangohout_Zwart_Metaal_80x80x43_cm_Detail.jpg",,0,new,published,,,,,,,
AC-49.038_11907,"Mallare Salontafel","Mallare Salontafel",https://demo.tomassotables.com/wp-content/uploads/Salontafel_Zip_Rough_Mangohout_130x70x43_cm_Perspectief.jpg,https://demo.tomassotables.com/mallare-salontafel/,"Salontafels","Tomasso Tables",351EUR,in stock,AC-49.038_11907,,"https://demo.tomassotables.com/wp-content/uploads/Salontafel_Zip_Rough_Mangohout_130x70x43_cm_Voorkant.jpg,https://demo.tomassotables.com/wp-content/uploads/Salontafel_Zip_Rough_Mangohout_130x70x43_cm_Detail.jpg",,0,new,published,,,,,,,
AC-49.040_11906,"Mastrati Salontafel","Mastrati Salontafel",https://demo.tomassotables.com/wp-content/uploads/Salontafel_Ziggy_Rough_Mangohout_80x80x43_cm_Voorkant.jpg,https://demo.tomassotables.com/mastrati-salontafel/,"Salontafels","Tomasso Tables",263EUR,in stock,AC-49.040_11906,,"https://demo.tomassotables.com/wp-content/uploads/Salontafel_Ziggy_Rough_Mangohout_80x80x43_cm_Voorkant_2.jpg,https://demo.tomassotables.com/wp-content/uploads/Salontafel_Ziggy_Rough_Mangohout_80x80x43_cm_Detail.jpg",,0,new,published,,,,,,,
JP-46.041_11905,"Lentace Salontafel","Lentace Salontafel",https://demo.tomassotables.com/wp-content/uploads/Salontafel_Tampa_Rough_Mangohout_110x70x40_cm_Perspectief.jpg,https://demo.tomassotables.com/lentace-salontafel/,"Salontafels","Tomasso Tables",439EUR,out of stock,JP-46.041_11905,,"https://demo.tomassotables.com/wp-content/uploads/Salontafel_Tampa_Rough_Mangohout_110x70x40_cm_Voorkant.jpg,https://demo.tomassotables.com/wp-content/uploads/Salontafel_Tampa_Rough_Mangohout_110x70x40_cm_Voorkant_2.jpg,https://demo.tomassotables.com/wp-content/uploads/Salontafel_Tampa_Rough_Mangohout_110x70x40_cm_Perspectief_2.jpg,https://demo.tomassotables.com/wp-content/uploads/Salontafel_Tampa_Rough_Mangohout_110x70x40_cm_Detail.jpg",,0,new,published,,,,,,,
JP-46.034_11902,"Priocca Salontafel","Priocca Salontafel",https://demo.tomassotables.com/wp-content/uploads/Salontafel_Chili_Zwart_Mangohout_110x70x40_cm_Perspectief.jpg,https://demo.tomassotables.com/priocca-salontafel/,"Salontafels","Tomasso Tables",439EUR,in stock,JP-46.034_11902,,"https://demo.tomassotables.com/wp-content/uploads/Salontafel_Chili_Zwart_Mangohout_110x70x40_cm_Perspectief_2.jpg,https://demo.tomassotables.com/wp-content/uploads/Salontafel_Chili_Zwart_Mangohout_110x70x40_cm_Voorkant.jpg,https://demo.tomassotables.com/wp-content/uploads/Salontafel_Chili_Zwart_Mangohout_110x70x40_cm_Voorkant_2.jpg,https://demo.tomassotables.com/wp-content/uploads/Salontafel_Chili_Zwart_Mangohout_110x70x40_cm_Detail.jpg",,0,new,published,,,,,,,
IV-52.020_11896,"Tenna Salontafel","Tenna Salontafel",https://demo.tomassotables.com/wp-content/uploads/Salontafel_Set_Nobby_Antiek_Ash_Metaal_60x60x45_cm_Voorkant.jpg,https://demo.tomassotables.com/tenna-salontafel/,"Salontafels","Tomasso Tables",241EUR,in stock,IV-52.020_11896,,"https://demo.tomassotables.com/wp-content/uploads/Salontafel_Set_Nobby_Antiek_Ash_Metaal_60x60x45_cm_Detail.jpg,https://demo.tomassotables.com/wp-content/uploads/Salontafel_Set_Nobby_Antiek_Ash_Metaal_60x60x45_cm_Detail_2.jpg",,0,new,published,,,,,,,
